SA2 2011,SA2 2016,Weight
101011001,101051539,1
101011002,101051540,1
101011003,101061541,1
101011004,101061542,1
101011005,101061543,1
101011006,101061544,1
101021007,101021007,1
101021008,101021008,1
101021009,101021009,1
101021010,101021010,1
101021011,101021011,1
101021012,101021012,1
101031013,101031013,1
101031014,101031014,1
101031015,101031015,1
101031016,101031016,1
101041017,101041017,1
101041018,101041018,1
101041019,101041019,1
101041020,101041020,1
101041021,101041021,1
101041022,101041022,1
101041023,101041023,1
101041024,101041024,1
101041025,101041025,1
101041026,101041026,1
101041027,101041027,1
102011028,102011028,1
102011029,102011029,1
102011030,102011030,1
102011031,102011031,1
102011032,102011032,1
102011033,102011033,1
102011034,102011034,1
102011035,102011035,1
102011036,102011036,1
102011037,102011037,1
102011038,102011038,1
102011039,102011039,1
102011040,102011040,1
102011041,102011041,1
102011042,102011042,1
102011043,102011043,1
102021044,102021044,1
102021045,102021045,1
102021046,102021046,1
102021047,102021047,0.9934181
102021047,102021055,0.0065819
102021048,102021048,1
102021049,102021049,1
102021050,102021050,1
102021051,102021051,1
102021052,102021052,1
102021053,102021053,1
102021054,102021054,1
102021055,102021055,1
102021056,102021056,1
102021057,102021057,1
103011058,103011058,1
103011059,103011059,1
103011060,103011060,1
103011061,103011061,1
103021062,103021062,1
103021063,103021063,1
103021064,103021064,1
103021065,103021065,1
103021066,103021066,1
103021067,103021067,1
103021068,103021068,1
103021069,103021069,1
103031070,103031070,1
103031071,103031071,1
103031072,103031072,1
103031073,103031073,1
103031074,103031074,1
103031075,103031075,1
103041076,103041076,1
103041077,103041077,1
103041078,103041078,1
103041079,103041079,1
104011080,104011080,1
104011081,104011081,1
104011082,104011082,0.9999998
104021083,104021083,1
104021084,104021084,1
104021085,104021085,1
104021086,104021086,1
104021087,104021087,1
104021088,104021088,1
104021089,104021089,1
104021090,104021090,1
104021091,104021091,1
105011092,105011092,1
105011093,105011093,1
105011094,105011094,1
105011095,105011095,1
105011096,105011096,1
105021097,105021097,1
